ID	Mass	Radius	e	a	Torb	Incl	
711c	0.82	0.97	0.014	0.602	88.60	-16.55	
711d	1.12	1.03	0.078	1.963	521.81	-66.37	
712a	2.00	1.12	0.026	2.018	622.73	33.80	
713a	0.39	0.78	0.128	0.175	14.15	-78.08	
714a	1.72	1.14	0.528	0.117	9.44	-82.67	
714b	1.59	1.14	0.363	1.598	477.70	-42.20	
714c	0.04	0.40	0.014	0.791	166.20	-47.05	
715a	0.32	0.71	0.339	2.321	836.06	14.19	
715b	0.10	0.51	0.023	0.118	9.63	-38.10	
716a	1.91	1.23	0.070	0.086	6.21	-11.48	
717a	0.81	0.97	0.101	2.371	695.44	73.53	
717b	1.98	1.25	0.060	2.316	671.50	-47.87	
717c	3.08	1.52	0.232	0.166	12.86	60.67	
717d	2.78	1.77	0.226	2.350	686.17	-30.23	
718a	0.88	0.96	0.015	1.539	357.59	71.18	
718b	0.39	0.77	0.049	0.045	1.81	0.82	
719a	1.65	1.16	0.229	0.038	1.50	-83.22	
720a	0.99	0.97	0.068	2.241	580.25	64.73	
721a	0.97	0.98	0.069	0.015	0.32	69.60	
721b	2.55	1.19	0.018	2.760	813.35	72.42	
721c	0.54	0.84	0.129	0.085	4.37	-74.94	
722a	2.20	1.43	0.048	0.231	17.77	-80.11	
722b	2.81	1.61	0.093	1.373	257.27	76.83	
723a	0.14	0.59	0.301	0.072	3.78	84.19	
724a	2.76	1.68	0.191	0.854	179.67	86.04	
725a	0.43	0.79	0.432	0.658	100.42	74.81	
726a	1.86	1.16	0.016	1.534	386.10	-28.40	
727a	0.11	0.55	0.788	0.006	0.08	16.60	
728a	2.78	1.78	0.021	2.115	535.66	5.46	
729a	1.49	1.11	0.241	0.050	2.49	-31.02	
730a	2.71	1.29	0.055	0.014	0.33	-14.98	
730b	0.48	0.83	0.192	0.947	187.03	-5.33	
730c	2.93	1.78	0.259	0.100	6.38	58.75	
730d	1.00	1.03	0.038	0.095	5.94	-77.44	
731a	2.53	1.60	0.550	2.594	810.06	-72.28	
732a	0.36	0.74	0.364	0.032	1.10	-3.28	
733a	0.39	0.77	0.022	2.707	1096.77	-57.20	
734a	1.41	1.09	0.558	1.360	326.90	25.77	
735a	2.06	1.17	0.318	1.529	389.65	72.04	
736a	0.41	0.79	0.030	2.946	828.91	67.26	
737a	1.23	1.03	0.385	2.860	909.90	16.33	
738a	1.41	1.12	0.015	0.011	0.22	-42.47	
739a	1.54	1.15	0.156	0.019	0.53	52.57	
739b	1.61	1.16	0.504	1.667	455.25	-82.58	
740a	2.90	1.85	0.058	2.855	984.19	-59.04	
740b	2.92	1.54	0.167	2.886	1000.39	23.17	
740c	1.57	1.15	0.123	0.625	100.75	3.70	
740d	1.21	1.09	0.034	1.299	302.19	-41.23	
741a	1.39	1.11	0.053	0.371	48.84	-57.25	
741b	1.88	1.17	0.459	0.012	0.29	62.22	
741c	1.52	1.09	0.027	0.011	0.26	81.64	
741d	1.69	1.12	0.069	2.942	1090.29	-77.48	
741e	0.36	0.74	0.032	0.008	0.14	14.99	
742a	1.66	1.18	0.300	2.194	585.25	-13.92	
743a	2.76	1.34	0.367	0.020	0.63	-86.65	
744a	0.31	0.73	0.489	1.864	459.88	-2.79	
745a	1.12	1.05	0.106	0.011	0.25	11.52	
746a	0.11	0.53	0.602	0.007	0.12	-22.57	
746b	2.29	1.20	0.025	0.031	1.25	-35.66	
746c	2.69	1.40	0.039	1.729	514.34	34.16	
746d	1.19	1.09	0.394	0.019	0.57	0.65	
747a	2.41	1.35	0.040	1.440	271.54	22.61	
747b	1.93	1.17	0.047	0.013	0.22	66.88	
747c	2.31	1.40	0.028	0.016	0.31	30.53	
748a	1.90	1.18	0.038	0.114	5.48	-14.19	
748b	0.58	0.87	0.017	0.834	108.39	-12.52	
749a	0.25	0.65	0.568	1.363	210.73	88.02	
749b	1.18	1.03	0.012	0.296	21.29	68.07	
749c	2.43	1.17	0.089	0.053	1.63	89.63	
750a	1.86	1.18	0.650	0.706	138.56	21.60	
751a	2.22	1.09	0.125	0.013	0.34	73.39	
752a	1.87	1.17	0.033	0.020	0.68	-5.09	
753a	1.87	1.19	0.220	0.012	0.26	-40.68	
754a	1.98	1.22	0.474	0.042	2.16	-55.53	
754b	1.88	1.20	0.510	1.008	254.61	-14.09	
755a	1.70	1.13	0.018	1.107	241.07	8.44	
756a	1.61	1.15	0.131	2.893	1019.34	-44.87	
756b	3.10	1.69	0.188	2.630	883.53	67.36	
756c	0.60	0.83	0.924	0.473	67.31	56.34	
756d	1.33	1.04	0.636	0.019	0.52	12.47	
757a	0.28	0.73	0.844	0.414	55.18	0.29	
758a	2.64	1.46	0.398	0.135	9.53	68.81	
759a	0.59	0.83	0.033	2.387	708.63	-73.54	
760a	1.46	1.16	0.015	0.026	0.80	-63.14	
760b	2.58	1.67	0.084	0.019	0.49	-13.98	
760c	0.79	0.97	0.121	2.571	792.26	-40.43	
761a	3.01	1.60	0.045	0.026	0.80	86.93	
762a	1.65	1.16	0.159	0.201	17.37	50.44	
762b	0.83	0.94	0.021	0.015	0.36	29.29	
762c	2.16	1.23	0.107	0.959	180.50	-41.85	
762d	1.15	1.01	0.144	0.266	26.37	-69.21	
763a	0.40	0.78	0.038	0.539	92.40	-18.50	
763b	1.02	0.99	0.753	2.114	717.17	-1.60	
763c	1.29	1.07	0.559	0.010	0.25	-25.72	
764a	0.65	0.91	0.375	0.010	0.23	27.43	
765a	0.39	0.79	0.040	0.026	1.51	45.13	
766a	1.25	1.05	0.157	0.010	0.25	-59.30	
767a	0.09	0.51	0.148	1.482	435.14	-64.34	
768a	1.84	1.20	0.285	0.013	0.34	50.14	
769a	0.54	0.87	0.696	0.962	156.70	88.83	
769b	1.98	1.25	0.384	0.012	0.22	29.16	
770a	3.02	1.38	0.012	0.023	0.73	5.50	
771a	1.73	1.18	0.165	0.012	0.27	-35.23	
772a	1.63	1.19	0.044	0.887	108.93	68.53	
773a	0.51	0.85	0.287	0.052	1.59	-65.11	
773b	0.80	0.92	0.341	0.012	0.18	54.41	
774a	2.21	1.19	0.165	0.012	0.21	-7.50	
774b	0.65	0.88	0.348	2.778	747.24	70.29	
774c	0.72	0.88	0.133	0.159	10.20	-48.07	
775a	1.13	1.03	0.233	0.010	0.17	32.85	
776a	1.12	1.07	0.041	1.781	477.88	66.21	
776b	2.17	1.19	0.097	0.079	4.46	-59.87	
777a	1.56	1.16	0.177	0.070	3.71	-32.77	
778a	2.52	1.53	0.312	0.147	8.83	6.64	
779a	2.62	1.66	0.014	2.770	802.74	-81.47	
780a	1.10	1.06	0.348	0.493	101.91	17.92	
781a	1.11	1.04	0.053	0.044	1.76	37.89	
781b	2.68	1.45	0.046	0.123	8.27	-67.85	
782a	1.41	1.06	0.728	2.801	991.08	-58.47	
783a	2.27	1.30	0.608	0.035	0.96	89.87	
783b	0.15	0.61	0.040	0.009	0.12	-64.88	
783c	1.74	1.19	0.015	0.840	114.13	19.58	
784a	1.13	1.03	0.117	1.663	387.65	-47.41	
785a	0.61	0.89	0.210	2.251	660.41	-59.75	
786a	1.40	1.08	0.077	0.163	10.86	22.16	
787a	2.52	1.59	0.959	2.824	1019.50	45.93	
787b	0.41	0.79	0.141	2.930	1077.47	-56.18	
788a	0.65	0.90	0.878	1.577	406.27	-58.75	
789a	1.20	1.06	0.014	0.011	0.23	50.03	
790a	0.40	0.78	0.026	1.884	458.71	-73.73	
791a	0.79	0.94	0.344	0.912	208.76	-21.49	
792a	2.72	1.47	0.077	2.868	996.15	-53.15	
792b	1.83	1.20	0.473	0.168	14.09	-19.96	
792c	0.17	0.59	0.333	0.044	1.92	46.48	
792d	1.91	1.17	0.871	2.046	600.10	33.19	
793a	1.71	1.19	0.391	2.253	779.18	-56.47	
794a	1.45	1.13	0.012	1.849	602.30	51.60	
794b	1.60	1.18	0.014	0.132	11.50	71.45	
794c	0.53	0.85	0.419	1.510	444.44	56.22	
794d	0.89	0.93	0.015	2.684	1053.50	12.75	
795a	0.39	0.75	0.116	0.008	0.18	73.86	
796a	0.54	0.83	0.015	2.566	984.82	-46.44	
797a	0.47	0.82	0.045	0.427	84.43	-59.08	
798a	1.91	1.20	0.062	2.415	806.99	-79.88	
798b	2.10	1.29	0.867	1.465	381.29	52.05	
799a	0.80	0.91	0.013	0.018	0.75	-62.18	
799b	0.67	0.86	0.015	1.220	404.90	40.16	
799c	0.48	0.80	0.135	0.139	15.60	-87.36	
800a	0.09	0.50	0.066	0.047	2.45	66.94	
801a	0.11	0.53	0.189	2.234	834.23	-77.32	
802a	0.94	0.97	0.012	0.069	4.40	46.38	
803a	1.27	1.08	0.120	0.067	5.61	40.64	
804a	1.85	1.17	0.063	0.647	166.93	46.39	
805a	1.43	1.07	0.224	1.313	321.43	-38.90	
806a	0.68	0.89	0.411	0.028	1.03	33.94	
807a	0.64	0.92	0.474	0.009	0.17	-84.44	
808a	0.30	0.70	0.245	2.315	769.56	-52.86	
809a	0.02	0.31	0.626	1.915	1077.60	89.62	
810a	1.89	1.23	0.264	0.012	0.35	-17.23	
811a	1.58	1.13	0.482	0.011	0.25	11.28	
812a	1.61	1.18	0.034	1.175	275.27	-71.90	
813a	1.64	1.12	0.908	2.778	843.20	-60.00	
814a	1.37	1.08	0.017	2.937	1273.76	61.63	
815a	0.66	0.86	0.022	0.013	0.37	79.48	
816a	2.38	1.55	0.348	2.642	715.31	-10.01	
817a	0.25	0.67	0.152	0.059	3.77	81.06	
818a	0.58	0.85	0.034	2.801	1326.97	-78.32	
819a	1.75	1.17	0.014	0.307	35.67	-56.00	
820a	0.43	0.76	0.022	0.009	0.17	-9.03	
820b	2.48	1.19	0.014	0.069	3.75	13.31	
820c	1.97	1.25	0.159	0.123	9.02	60.20	
820d	1.67	1.15	0.111	1.357	330.79	-76.30	
821a	1.84	1.21	0.490	2.872	951.80	38.77	
821b	0.25	0.69	0.031	0.324	36.11	-77.13	
821c	2.10	1.05	0.015	0.026	0.82	29.33	
822a	1.08	0.98	0.552	0.252	26.47	-43.89	
822b	0.66	0.87	0.257	0.713	125.95	-78.22	
823a	1.02	0.97	0.205	0.009	0.20	73.93	
823b	0.26	0.68	0.561	2.942	1162.51	-31.28	
823c	0.82	0.96	0.023	1.469	410.05	-9.31	
824a	1.09	1.06	0.019	2.916	1154.23	-81.60	
825a	1.65	1.19	0.254	0.255	29.89	-23.59	
826a	0.97	0.99	0.552	1.608	857.52	-19.99	
827a	1.11	1.04	0.102	0.057	2.58	-71.70	
828a	1.96	1.25	0.046	1.206	163.18	32.45	
829a	0.15	0.57	0.463	0.013	0.26	-15.47	
829b	2.77	1.47	0.311	1.421	284.02	39.02	
830a	1.06	0.99	0.015	0.043	3.50	7.97	
830b	1.01	0.97	0.024	0.010	0.39	-37.37	
831a	1.97	1.21	0.035	0.145	10.71	15.97	
832a	2.96	1.48	0.020	0.056	2.60	-76.09	
833a	1.78	1.20	0.088	0.015	0.33	43.31	
834a	1.30	1.06	0.050	2.301	682.08	40.95	
834b	1.27	1.04	0.630	2.723	878.12	-33.88	
834c	2.84	1.54	0.018	1.920	519.84	-58.30	
835a	0.79	0.96	0.261	0.952	159.75	17.66	
836a	0.18	0.60	0.065	0.013	0.27	59.63	
836b	1.31	1.10	0.926	2.705	843.62	-86.50	
836c	0.18	0.64	0.113	2.237	634.51	-21.01	
836d	2.96	1.52	0.398	2.315	667.90	-34.15	
837a	1.35	1.08	0.158	0.040	1.51	-14.57	
838a	1.70	1.14	0.426	1.341	250.16	65.37	
839a	2.66	1.48	0.096	2.909	828.31	-53.82	
840a	2.33	1.29	0.029	1.121	192.20	7.71	
841a	2.04	1.09	0.942	0.025	0.70	12.92	
842a	1.62	1.16	0.080	0.011	0.21	17.74	
842b	1.07	1.06	0.531	0.038	1.29	-73.91	
842c	1.50	1.15	0.016	0.012	0.23	25.21	
842d	1.09	1.01	0.900	1.562	333.03	-59.95	
843a	1.43	1.14	0.057	0.965	172.55	-80.98	
844a	0.73	0.90	0.042	0.400	47.43	36.29	
845a	2.17	1.27	0.305	1.043	206.97	-38.09	
846a	0.13	0.57	0.031	0.006	0.07	88.82	
847a	0.96	0.96	0.175	2.528	752.51	-23.07	
848a	0.59	0.83	0.030	0.688	118.90	5.95	
849a	2.46	1.32	0.189	1.915	572.48	-32.37	
850a	1.84	1.20	0.413	0.013	0.30	-31.17	
851a	0.86	0.92	0.276	0.009	0.18	-22.77	
852a	0.81	0.94	0.049	0.026	0.83	1.08	
852b	0.89	0.97	0.614	0.153	11.66	34.18	
852c	0.17	0.61	0.100	0.007	0.11	-27.79	
852d	1.19	1.02	0.688	2.827	929.93	-72.64	
853a	2.17	1.29	0.074	0.176	12.86	-64.11	
854a	2.42	1.54	0.014	1.317	328.20	-69.88	
854b	2.29	1.56	0.013	2.083	653.19	-36.09	
854c	1.11	0.99	0.331	0.028	1.01	-75.11	
855a	1.42	1.09	0.235	0.078	4.08	-27.95	
856a	0.32	0.72	0.034	2.596	818.03	73.43	
857a	1.85	1.23	0.083	0.080	4.46	84.58	
858a	0.82	0.98	0.984	0.161	13.37	49.63	
858b	1.32	1.09	0.031	1.343	320.60	86.59	
859a	1.56	1.10	0.296	0.288	36.11	68.08	
860a	0.41	0.76	0.184	0.304	40.52	33.33	
861a	2.59	1.63	0.035	1.190	297.14	-88.31	
862a	1.96	1.21	0.461	0.031	1.50	-8.41	
863a	0.25	0.68	0.025	2.532	895.46	-13.40	
863b	2.92	1.46	0.017	2.050	652.22	42.85	
863c	1.98	1.25	0.047	0.017	0.51	-6.80	
863d	1.72	1.20	0.058	0.159	14.11	76.09	
863e	2.76	1.34	0.949	2.091	671.96	-37.65	
864a	0.95	1.02	0.604	1.782	514.01	-2.14	
865a	2.18	1.16	0.011	0.012	0.29	14.81	
866a	1.56	1.15	0.044	0.014	0.38	57.38	
867a	2.09	1.27	0.337	0.670	120.50	-42.95	
867b	1.42	1.12	0.072	0.014	0.37	9.52	
867c	0.20	0.63	0.017	1.457	386.48	-4.69	
868a	0.89	0.93	0.035	2.627	718.74	45.24	
869a	1.43	1.10	0.236	2.327	735.20	-69.68	
870a	2.76	1.33	0.090	0.107	7.28	-18.33	
871a	2.98	1.63	0.624	0.054	2.65	-18.42	
872a	0.46	0.80	0.067	2.239	723.53	-77.80	
873a	0.24	0.66	0.167	0.221	25.51	25.76	
874a	1.44	1.08	0.033	0.125	10.06	-82.31	
875a	0.60	0.88	0.701	0.759	151.54	-61.69	
875b	0.89	0.93	0.606	2.667	997.54	50.07	
875c	0.56	0.83	0.716	0.103	7.59	77.63	
875d	3.05	1.54	0.066	0.681	128.57	-33.78	
876a	0.13	0.54	0.078	0.096	6.78	40.73	
876b	0.85	0.95	0.528	2.685	1007.29	29.64	
876c	1.47	1.10	0.059	0.011	0.28	-79.73	
877a	2.63	1.67	0.011	0.018	0.55	-37.68	
878a	0.18	0.62	0.026	0.370	51.57	66.40	
879a	2.18	1.40	0.076	0.519	82.72	-47.29	
880a	1.76	1.14	0.089	0.851	171.49	-51.84	
881a	1.20	1.08	0.212	1.062	267.61	21.62	
881b	0.11	0.53	0.787	2.309	858.18	8.92	
881c	1.06	1.05	0.020	0.152	14.44	-51.28	
881d	1.36	1.07	0.136	0.243	29.33	-28.26	
882a	2.09	1.42	0.046	1.266	304.57	19.22	
883a	2.23	1.53	0.856	1.487	415.30	32.90	
884a	2.22	1.12	0.028	2.921	985.61	51.85	
885a	0.36	0.78	0.677	0.095	6.78	-56.02	
886a	2.23	1.32	0.036	0.670	118.49	63.22	
886b	1.96	1.21	0.024	2.928	1082.11	4.29	
886c	1.20	1.07	0.110	0.016	0.42	-60.66	
886d	0.46	0.78	0.750	0.301	35.70	30.53	
887a	1.64	1.19	0.433	0.015	0.40	40.18	
887b	2.05	1.05	0.031	0.168	14.95	32.54	
888a	3.06	1.81	0.071	0.093	6.45	81.70	
889a	2.67	1.32	0.063	2.953	997.58	38.28	
889b	2.62	1.45	0.471	2.738	890.34	-12.70	
890a	2.71	1.51	0.282	0.200	17.56	-88.08	
891a	1.70	1.12	0.200	0.100	7.27	-18.61	
892a	1.26	1.06	0.300	0.017	0.43	29.60	
892b	1.88	1.23	0.015	1.320	299.42	36.43	
892c	2.36	1.56	0.011	1.257	278.01	-62.21	
893a	0.27	0.67	0.012	0.020	0.66	-62.98	
894a	0.15	0.61	0.032	2.804	997.99	70.56	
895a	1.54	1.15	0.140	0.011	0.27	60.12	
896a	1.85	1.18	0.113	0.014	0.34	-26.34	
897a	0.76	0.91	0.061	2.944	1067.82	49.32	
898a	2.38	1.48	0.014	1.992	639.61	-82.27	
899a	0.91	1.00	0.055	0.067	3.85	-83.49	
900a	0.42	0.81	0.633	0.169	16.15	-31.58	
901a	2.61	1.59	0.236	0.016	0.45	-32.39	
901b	3.05	1.46	0.023	1.678	497.76	-40.64	
902a	0.32	0.71	0.564	0.960	195.86	-34.36	
903a	0.42	0.79	0.113	0.799	143.03	61.39	
904a	1.92	1.17	0.250	0.012	0.30	-57.68	
905a	2.40	1.60	0.138	0.067	3.72	46.45	
906a	0.36	0.74	0.161	2.503	785.17	-20.23	
907a	0.73	0.91	0.088	0.987	218.03	37.15	
908a	1.13	1.05	0.197	2.935	1016.30	28.78	
909a	1.64	1.19	0.218	2.706	882.54	-5.00	
909b	0.91	1.00	0.039	2.769	913.68	26.39	
910a	2.51	1.52	0.094	2.328	704.30	-33.10	
910b	0.20	0.66	0.019	0.278	29.05	-45.71	
911a	1.80	1.19	0.048	0.171	16.79	-89.59	
911b	0.74	0.94	0.158	1.742	547.25	-4.02	
912a	1.30	1.08	0.208	0.011	0.32	42.48	
912b	1.89	1.15	0.372	0.961	271.84	-47.09	
913a	1.76	1.17	0.058	2.708	811.55	11.35	
914a	0.63	0.89	0.015	0.015	0.35	-55.19	
914b	3.07	1.41	0.056	2.164	628.28	-85.44	
914c	1.26	1.11	0.011	0.018	0.49	-2.94	
914d	2.65	1.25	0.015	2.942	996.19	73.37	
915a	1.08	1.06	0.952	2.917	983.28	-5.86	
915b	2.21	1.34	0.022	2.187	638.50	-34.99	
915c	1.46	1.11	0.023	0.016	0.40	-40.22	
915d	0.56	0.83	0.730	0.047	2.02	-11.08	
916a	2.02	1.37	0.469	0.017	0.37	24.79	
917a	0.83	0.91	0.058	0.009	0.18	67.76	
918a	0.61	0.90	0.678	1.348	374.81	86.25	
919a	1.19	1.07	0.267	0.682	105.03	23.57	
919b	1.45	1.08	0.012	2.392	690.18	72.69	
919c	2.20	1.10	0.869	0.011	0.20	69.96	
920a	3.03	1.89	0.027	0.018	0.52	-10.63	
920b	1.84	1.21	0.362	2.918	1037.83	-24.12	
920c	0.11	0.54	0.087	0.633	104.72	-51.89	
921a	3.09	1.87	0.042	0.024	0.73	89.79	
922a	0.39	0.78	0.012	0.063	3.14	0.55	
922b	1.08	1.01	0.025	0.218	20.30	-33.51	
922c	1.03	0.98	0.950	0.013	0.30	45.39	
923a	1.71	1.20	0.115	1.149	297.22	10.41	
924a	1.10	0.99	0.892	1.397	392.77	87.83	
925a	0.94	0.96	0.833	0.272	29.25	-36.92	
926a	2.60	1.59	0.945	1.278	297.71	27.61	
927a	2.10	1.07	0.609	0.014	0.35	-37.02	
927b	1.73	1.16	0.174	0.053	2.51	22.58	
928a	0.78	0.91	0.081	1.173	261.70	40.96	
929a	2.17	1.15	0.553	0.749	134.27	82.75	
930a	1.49	1.16	0.032	2.257	669.19	-80.57	
930b	0.75	0.91	0.820	1.348	308.82	70.82	
930c	0.36	0.77	0.033	0.754	129.19	-2.01	
931a	1.74	1.20	0.063	0.133	11.48	49.60	
932a	1.45	1.11	0.017	2.463	762.89	34.56	
932b	2.42	1.59	0.021	1.804	478.27	-9.24	
933a	0.99	0.98	0.021	2.008	636.12	87.46	
933b	1.59	1.16	0.503	2.765	1027.69	25.46	
934a	2.79	1.50	0.377	2.832	1013.05	66.99	
935a	2.52	1.54	0.392	2.614	898.53	4.51	
935b	0.69	0.88	0.730	2.950	1076.84	25.81	
936a	2.49	1.32	0.011	0.013	0.30	-43.50	
937a	1.89	1.17	0.017	1.640	443.99	9.24	
938a	0.74	0.88	0.015	0.261	27.33	-53.45	
938b	3.06	1.64	0.702	0.024	0.75	39.30	
939a	2.94	1.52	0.015	0.577	90.87	-83.10	
940a	2.70	1.40	0.240	0.506	67.51	79.41	
940b	3.06	1.53	0.271	0.062	2.92	-14.32	
940c	2.02	1.20	0.021	0.884	155.73	12.69	
941a	1.93	1.23	0.021	0.848	173.54	-8.96	
942a	1.13	0.99	0.361	1.657	401.12	7.32	
943a	1.68	1.17	0.732	0.519	77.13	53.73	
944a	2.63	1.28	0.146	0.041	1.69	-18.15	
944b	2.00	1.26	0.019	0.012	0.29	-14.99	
944c	2.33	1.57	0.044	0.489	70.53	4.00	
945a	1.28	1.08	0.193	0.218	27.03	43.16	
946a	0.28	0.72	0.069	2.572	1135.56	-9.21	
947a	1.21	1.07	0.023	0.030	1.22	-84.31	
948a	1.54	1.13	0.806	0.020	0.56	-52.86	
949a	1.89	1.18	0.136	2.681	932.95	-44.15	
949b	0.77	0.90	0.215	0.038	1.55	-25.13	
949c	2.51	1.55	0.194	1.923	566.78	46.16	
949d	0.96	1.03	0.027	2.710	948.28	1.12	
950a	2.58	1.61	0.015	0.889	166.28	45.95	
951a	2.51	1.29	0.021	0.205	20.48	69.94	
951b	1.59	1.13	0.056	0.040	1.75	-58.98	
952a	0.75	0.95	0.221	1.804	535.25	-17.44	
953a	2.82	1.37	0.877	0.022	0.64	-17.82	
954a	1.11	1.05	0.886	2.919	1095.49	-27.01	
955a	2.21	1.26	0.032	0.112	7.58	-80.57	
956a	1.37	1.11	0.020	0.013	0.34	-0.49	
957a	3.00	1.42	0.624	2.914	968.67	-35.63	
958a	2.77	1.40	0.075	0.073	3.89	-11.93	
959a	0.82	0.94	0.073	0.033	1.47	34.71	
960a	0.56	0.82	0.047	1.375	397.10	-48.84	
960b	0.60	0.86	0.016	0.067	4.24	20.39	
961a	0.90	0.95	0.074	0.010	0.21	2.74	
962a	1.07	1.04	0.121	2.945	1002.06	62.42	
963a	1.51	1.11	0.136	1.839	712.72	81.01	
963b	0.48	0.80	0.587	0.013	0.41	-79.22	
964a	2.93	1.75	0.030	0.023	0.67	-65.70	
965a	1.68	1.15	0.097	0.571	86.10	-0.97	
965b	1.86	1.19	0.032	0.563	84.16	-71.12	
966a	0.24	0.65	0.077	1.089	252.53	36.54	
967a	2.59	1.59	0.862	0.189	16.82	79.95	
967b	2.57	1.24	0.038	1.682	447.15	36.37	
967c	1.51	1.12	0.020	0.021	0.61	-65.59	
968a	1.82	1.17	0.111	0.366	45.81	56.47	
969a	0.23	0.68	0.021	1.887	502.46	65.86	
970a	2.47	1.26	0.123	0.296	31.28	53.50	
971a	0.16	0.60	0.054	2.714	862.90	-21.33	
972a	2.07	1.37	0.533	0.014	0.35	55.04	
973a	0.89	1.01	0.390	0.015	0.49	64.40	
974a	1.44	1.08	0.744	0.163	15.01	-64.67	
974b	1.19	1.02	0.297	0.011	0.25	88.47	
974c	2.86	1.71	0.015	0.017	0.49	-60.14	
974d	1.22	1.06	0.118	0.011	0.25	38.39	
975a	0.96	0.96	0.119	0.009	0.19	-18.39	
976a	1.84	1.18	0.103	2.316	722.49	56.75	
977a	1.11	0.99	0.022	0.010	0.20	-5.53	
978a	2.65	1.45	0.031	2.402	787.20	-45.96	
979a	0.58	0.85	0.017	0.569	90.86	-33.56	
980a	0.17	0.61	0.237	0.104	7.10	26.96	
981a	0.34	0.75	0.073	0.010	0.21	-41.78	
982a	2.75	1.64	0.124	0.076	4.44	46.45	
983a	1.04	0.97	0.132	0.010	0.19	66.01	
984a	1.18	1.04	0.021	0.022	0.67	10.88	
985a	2.78	1.29	0.494	0.148	11.96	-60.02	
986a	1.75	1.20	0.105	0.671	107.61	39.59	
987a	1.64	1.19	0.567	0.335	35.01	-34.70	
988a	1.06	1.02	0.011	0.010	0.26	38.78	
989a	3.02	1.60	0.018	0.648	102.07	72.60	
990a	2.66	1.43	0.259	0.422	60.88	-26.44	
990b	1.37	1.07	0.556	0.431	62.87	22.08	
991a	0.80	0.94	0.130	0.977	212.27	41.54	
991b	0.84	0.92	0.250	1.565	430.14	-58.87	
991c	2.63	1.55	0.094	0.378	51.03	4.30	
991d	0.82	0.97	0.055	0.534	85.74	-37.73	
992a	2.43	1.35	0.092	0.014	0.32	-16.75	
993a	1.49	1.11	0.125	1.936	649.70	-18.20	
993b	0.85	0.97	0.472	1.815	589.92	37.67	
994a	2.85	1.34	0.434	0.013	0.30	-6.53	
994b	1.37	1.07	0.803	0.168	13.49	84.41	
995a	2.45	1.42	0.095	2.920	888.28	-19.88	
996a	1.68	1.19	0.203	0.079	4.28	-52.37	
997a	0.74	0.93	0.268	1.549	425.90	-36.63	
998a	3.08	1.51	0.031	0.015	0.29	46.81	
998b	2.59	1.48	0.202	0.017	0.36	2.19	
998c	2.98	1.68	0.442	0.635	82.50	-78.91	
999a	2.36	1.34	0.075	0.020	0.61	15.85	
1000a	2.34	1.35	0.978	2.027	610.12	31.28	
1000b	1.36	1.09	0.034	0.012	0.27	34.37	
1001a	0.89	0.95	0.117	0.513	77.23	30.04	
1002a	1.89	1.20	0.338	2.904	967.75	16.83	
1002b	1.53	1.15	0.120	1.194	255.31	9.85	
1002c	0.58	0.84	0.077	2.028	565.03	-78.44	
1003a	1.72	1.20	0.015	2.481	911.83	28.49	
1003b	0.11	0.53	0.045	2.844	1119.35	-55.09	
1003c	1.81	1.15	0.031	2.404	869.47	61.01	
1003d	1.08	1.00	0.159	0.010	0.25	-46.27	
1004a	0.51	0.81	0.238	0.008	0.14	74.90	
1005a	0.92	0.99	0.034	0.012	0.27	-3.99	
1006a	0.95	0.99	0.190	1.373	343.94	63.47	
1007a	1.70	1.11	0.305	0.014	0.59	89.84	
1008a	2.56	1.53	0.039	0.015	0.38	7.13	
1009a	1.41	1.11	0.080	0.013	0.31	-23.06	
1010a	0.38	0.76	0.570	0.013	0.33	-39.28	
1010b	2.34	1.37	0.521	1.392	343.67	12.38	
1010c	2.67	1.46	0.093	0.032	1.22	-49.64	
1010d	1.44	1.13	0.983	1.653	444.81	-18.98	
1011a	0.85	0.96	0.036	2.909	1054.70	-64.95	
1012a	0.58	0.89	0.272	0.100	6.52	-75.42	
1013a	0.48	0.84	0.489	0.008	0.15	-80.61	
1014a	1.48	1.09	0.107	0.011	0.28	48.80	
1015a	1.87	1.17	0.016	0.746	153.20	-25.68	
1016a	0.88	0.93	0.031	1.354	342.30	80.41	
1017a	0.32	0.75	0.109	0.757	133.64	43.54	
1018a	0.67	0.88	0.773	0.009	0.18	-86.83	
1019a	0.84	0.96	0.018	0.009	0.19	42.35	
1020a	0.55	0.84	0.043	0.013	0.34	18.06	
1020b	1.63	1.17	0.073	0.027	1.00	50.14	
1020c	0.76	0.94	0.565	2.792	1049.19	33.69	
1020d	2.76	1.57	0.093	0.211	21.85	10.26	
1021a	1.44	1.07	0.813	0.056	2.82	11.58	
1022a	0.39	0.79	0.013	1.488	441.03	-34.48	
1022b	1.30	1.12	0.358	2.953	1232.56	-24.87	
1022c	1.27	1.05	0.065	1.357	383.89	4.30	
1023a	2.19	1.46	0.343	0.053	2.07	73.24	
1024a	0.69	0.91	0.067	1.955	577.95	36.55	
1025a	2.12	1.13	0.095	2.071	633.59	36.72	
1025b	1.41	1.14	0.058	2.898	1048.74	-88.83	
1025c	3.10	1.61	0.682	2.529	854.73	73.71	
1026a	1.83	1.20	0.185	2.918	1218.81	-22.82	
1027a	1.24	1.10	0.395	2.025	704.63	-54.87	
1027b	1.83	1.20	0.027	1.985	684.13	56.58	
1027c	0.27	0.67	0.051	0.171	17.24	-48.19	
