ID	Mass	[Fe/H]	Radius	Type	Teff	Tms	Nplan	
0	1.0	1.0	1.0	G	5700	10	5	
549	1.02	-0.14	1.01	G	5814	9.423	4
550	0.85	0.38	0.93	G	4845	16.283	1
551	1.05	-0.13	1.02	F	5985	8.638	1
552	1.00	-0.04	1.00	G	5700	10.000	3
553	1.24	0.19	1.10	F	7068	5.245	4
554	1.24	0.19	1.10	F	7068	5.245	1
555	1.20	-0.25	1.08	F	6840	5.787	3
556	1.16	0.09	1.07	F	6611	6.407	1
557	1.13	-0.17	1.05	F	6440	6.931	2
558	1.25	0.03	1.10	F	7125	5.120	2
559	1.19	0.29	1.08	F	6783	5.934	1
560	1.07	0.05	1.03	F	6099	8.163	2
561	1.13	-0.11	1.05	F	6440	6.931	3
562	0.99	-0.02	1.00	G	5643	10.306	3
563	1.54	0.27	1.20	A	8778	2.738	1
564	1.33	0.34	1.13	F	7581	4.251	1
565	0.75	-0.37	0.88	K	4275	23.704	1
566	1.10	-0.24	1.04	F	6270	7.513	1
567	1.13	0.34	1.05	F	6440	6.931	1
568	1.14	0.07	1.06	F	6497	6.750	1
569	1.50	-0.36	1.19	A	8550	2.963	1
570	1.27	0.32	1.11	F	7239	4.882	1
571	1.47	-0.25	1.18	A	8379	3.148	1
572	1.25	-0.18	1.10	F	7125	5.120	2
573	1.69	-0.26	1.25	A	9633	2.072	2
574	1.18	0.21	1.07	F	6726	6.086	1
575	1.00	-0.49	1.00	G	5700	10.000	4
576	1.09	-0.11	1.04	F	6213	7.722	2
577	0.93	0.16	0.97	G	5301	12.432	1
578	1.20	0.22	1.08	F	6840	5.787	2
579	0.80	0.30	0.91	K	4560	19.531	1
580	0.80	0.30	0.91	K	4560	19.531	2
581	0.80	0.30	0.91	K	4560	19.531	1
582	1.24	0.24	1.10	F	7068	5.245	2
583	1.06	0.36	1.03	F	6042	8.396	1
584	0.68	-0.75	0.85	K	3876	31.803	1
585	0.73	0.13	0.88	K	4183	25.288	1
586	1.74	-0.11	1.27	A	9918	1.898	4
587	0.85	-0.24	0.93	G	4845	16.283	1
588	0.90	-0.11	0.96	G	5130	13.717	1
589	2.54	0.00	1.49	None	14478	0.610	4
590	1.05	0.33	1.02	F	5985	8.638	1
591	1.05	0.33	1.02	F	5985	8.638	1
592	1.22	0.24	1.09	F	6948	5.521	1
593	0.92	0.13	0.96	G	5244	12.842	2
594	1.35	-0.06	1.14	F	7695	4.064	1
595	1.23	0.16	1.09	F	7011	5.374	1
596	0.88	0.00	0.95	G	5016	14.674	4
597	0.88	0.00	0.95	G	5016	14.674	1
598	0.88	0.00	0.95	G	5016	14.674	3
599	1.13	-0.15	1.05	F	6440	6.931	1
600	0.94	0.11	0.97	G	5358	12.040	1
601	0.95	0.03	0.98	G	5415	11.664	2
602	1.48	0.05	1.18	A	8436	3.085	3
603	1.24	0.37	1.10	F	7068	5.245	2
604	1.25	-0.12	1.10	F	7125	5.120	1
605	1.07	0.14	1.03	F	6099	8.163	1
606	1.07	0.14	1.03	F	6099	8.163	1
607	1.07	0.14	1.03	F	6099	8.163	4
608	1.07	0.14	1.03	F	6099	8.163	1
609	1.07	0.14	1.03	F	6099	8.163	4
610	1.07	0.14	1.03	F	6099	8.163	1
611	1.15	0.04	1.06	F	6554	6.575	2
612	0.79	0.05	0.90	K	4503	20.282	2
613	0.79	0.05	0.90	K	4503	20.282	5
614	0.83	-0.44	0.92	G	4731	17.489	1
615	1.00	0.34	1.00	G	5700	10.000	1
616	1.00	0.34	1.00	G	5700	10.000	1
617	1.08	-0.24	1.04	F	6184	7.829	1
618	1.48	0.27	1.18	A	8436	3.085	1
619	1.48	0.27	1.18	A	8436	3.085	1
620	1.36	0.26	1.14	F	7752	3.975	1
621	1.10	0.09	1.04	F	6270	7.513	1
622	1.08	0.32	1.03	F	6156	7.938	1
623	0.77	-0.31	0.89	K	4389	21.904	1
624	2.00	0.14	1.35	A	11400	1.250	3
625	1.10	0.19	1.04	F	6270	7.513	1
626	0.70	-0.09	0.86	K	3989	29.155	1
627	0.40	-0.01	0.68	M	2280	156.250	1
628	0.99	0.20	1.00	G	5643	10.306	1
629	0.92	-0.43	0.96	G	5244	12.842	1
630	0.83	-0.09	0.92	G	4731	17.489	1
631	1.13	0.45	1.05	F	6440	6.931	1
632	1.13	0.45	1.05	F	6440	6.931	1
633	0.87	-0.28	0.94	G	4959	15.186	5
634	1.01	-0.09	1.01	G	5785	9.563	1
635	0.85	-0.34	0.93	G	4845	16.283	1
636	1.72	0.14	1.26	A	9804	1.965	1
637	0.96	0.40	0.98	G	5472	11.303	1
638	1.38	0.28	1.15	F	7865	3.805	1
639	1.00	0.03	1.00	G	5700	10.000	1
640	1.02	0.29	1.01	G	5814	9.423	1
641	0.82	-0.17	0.92	G	4674	18.137	1
642	0.83	0.29	0.92	G	4731	17.489	1
643	0.91	0.24	0.96	G	5187	13.270	1
644	0.99	0.23	1.00	G	5643	10.306	4
645	0.99	0.23	1.00	G	5643	10.306	1
646	1.74	0.01	1.27	A	9918	1.898	1
647	1.74	0.01	1.27	A	9918	1.898	1
648	1.81	-0.02	1.29	A	10317	1.686	1
649	1.81	-0.02	1.29	A	10317	1.686	1
650	0.82	-0.22	0.92	G	4674	18.137	5
651	0.94	-0.68	0.97	G	5358	12.040	3
652	0.93	0.17	0.97	G	5301	12.432	4
653	1.07	0.25	1.03	F	6099	8.163	1
654	1.27	0.23	1.11	F	7239	4.882	1
655	1.04	-0.07	1.02	G	5928	8.890	1
656	1.20	0.21	1.08	F	6840	5.787	1
657	1.20	0.21	1.08	F	6840	5.787	1
658	1.56	0.15	1.21	A	8892	2.634	1
659	1.56	0.15	1.21	A	8892	2.634	1
660	1.01	-0.50	1.00	G	5757	9.706	1
661	1.55	0.06	1.21	A	8835	2.685	3
662	0.92	0.13	0.96	G	5244	12.842	1
663	1.91	-0.02	1.32	A	10887	1.435	1
664	1.90	0.15	1.32	A	10830	1.458	1
665	1.44	-0.26	1.17	A	8208	3.349	5
666	1.47	0.19	1.18	A	8379	3.148	2
667	0.80	0.11	0.91	K	4560	19.531	4
668	0.86	-0.16	0.94	G	4930	15.451	3
669	0.79	-0.52	0.90	K	4503	20.282	1
670	0.92	-0.12	0.96	G	5244	12.842	2
671	0.92	-0.12	0.96	G	5244	12.842	3
672	1.10	-0.32	1.04	F	6270	7.513	4
673	1.15	0.31	1.06	F	6529	6.653	4
674	1.36	0.25	1.14	F	7752	3.975	1
675	1.36	0.25	1.14	F	7752	3.975	1
676	0.96	-0.06	0.98	G	5472	11.303	3
677	1.12	0.29	1.05	F	6384	7.118	1
678	1.20	0.24	1.08	F	6840	5.787	1
679	0.86	-0.05	0.94	G	4902	15.722	1
680	0.86	-0.05	0.94	G	4902	15.722	1
681	0.86	-0.05	0.94	G	4902	15.722	1
682	1.00	0.16	1.00	G	5700	10.000	1
683	0.89	0.28	0.95	G	5073	14.185	3
684	0.95	-0.02	0.98	G	5415	11.664	1
685	1.02	0.25	1.01	G	5814	9.423	4
686	1.05	0.29	1.02	F	5985	8.638	1
687	0.89	0.03	0.95	G	5073	14.185	3
688	1.08	0.25	1.03	F	6156	7.938	4
689	1.08	0.25	1.03	F	6156	7.938	1
690	1.29	0.16	1.12	F	7353	4.658	1
691	1.24	0.13	1.10	F	7068	5.245	1
692	1.24	0.13	1.10	F	7068	5.245	3
693	1.05	-0.11	1.02	F	5985	8.638	1
694	1.05	-0.11	1.02	F	5985	8.638	1
695	1.05	0.29	1.02	F	5985	8.638	3
696	1.41	0.25	1.16	A	8036	3.567	1
697	1.41	0.25	1.16	A	8036	3.567	1
698	1.28	0.27	1.11	F	7296	4.768	1
699	1.00	0.14	1.00	G	5700	10.000	1
700	1.17	-0.11	1.07	F	6669	6.244	2
701	0.75	-0.51	0.88	K	4275	23.704	2
702	0.93	0.35	0.97	G	5301	12.432	1
703	0.83	-0.15	0.92	G	4742	17.363	1
704	1.06	0.24	1.03	F	6042	8.396	1
705	0.98	0.43	0.99	G	5586	10.625	1
706	0.96	-0.16	0.98	G	5472	11.303	4
707	2.10	-0.36	1.37	A	11970	1.080	3
708	1.06	-0.31	1.03	F	6042	8.396	1
709	1.18	0.32	1.07	F	6726	6.086	1
710	1.18	0.32	1.07	F	6726	6.086	1
711	1.18	0.32	1.07	F	6726	6.086	4
712	0.90	0.35	0.96	G	5130	13.717	1
713	1.13	0.02	1.05	F	6440	6.931	1
714	0.76	-0.07	0.89	K	4332	22.780	3
715	0.76	-0.07	0.89	K	4332	22.780	2
716	0.69	-0.33	0.85	K	3932	30.441	1
717	1.17	0.05	1.07	F	6669	6.244	4
718	1.21	0.26	1.09	F	6897	5.645	2
719	1.02	-0.04	1.01	G	5814	9.423	1
720	1.42	0.20	1.16	A	8094	3.492	1
721	1.35	0.14	1.14	F	7695	4.064	3
722	1.66	0.04	1.24	A	9462	2.186	2
723	1.12	-0.17	1.05	F	6384	7.118	1
724	0.82	0.09	0.92	G	4674	18.137	1
725	1.20	0.34	1.08	F	6840	5.787	1
726	1.03	-0.14	1.01	G	5859	9.205	1
727	1.40	0.18	1.16	F	7979	3.644	1
728	1.40	0.18	1.16	F	7979	3.644	1
729	0.84	-0.24	0.93	G	4788	16.872	1
730	1.03	0.39	1.01	G	5871	9.151	4
731	1.13	0.32	1.05	F	6440	6.931	1
732	1.13	0.32	1.05	F	6440	6.931	1
733	0.70	0.15	0.86	K	3989	29.155	1
734	1.00	0.09	1.00	G	5700	10.000	1
735	1.00	0.09	1.00	G	5700	10.000	1
736	1.58	0.05	1.22	A	9006	2.535	1
737	1.20	-0.18	1.08	F	6840	5.787	1
738	1.12	0.11	1.05	F	6384	7.118	1
739	0.95	0.41	0.98	G	5415	11.664	2
740	1.02	-0.30	1.01	G	5814	9.423	4
741	0.91	-0.24	0.96	G	5187	13.270	5
742	1.31	0.34	1.12	F	7467	4.448	1
743	0.85	-0.23	0.93	G	4845	16.283	1
744	1.30	-0.02	1.12	F	7410	4.552	1
745	0.93	0.32	0.97	G	5301	12.432	1
746	0.83	0.36	0.92	G	4731	17.489	4
747	1.72	0.14	1.26	A	9804	1.965	3
748	2.10	0.31	1.37	A	11970	1.080	2
749	2.42	0.03	1.46	None	13794	0.706	3
750	0.78	-0.26	0.90	K	4446	21.073	1
751	0.87	-0.12	0.94	G	4959	15.186	1
752	0.78	-0.16	0.90	K	4417	21.483	1
753	1.00	-0.06	1.00	G	5700	10.000	1
754	0.67	-0.07	0.84	K	3819	33.249	2
755	0.99	0.26	1.00	G	5643	10.306	1
756	0.99	0.26	1.00	G	5643	10.306	4
757	0.99	0.26	1.00	G	5643	10.306	1
758	1.15	-0.11	1.06	F	6554	6.575	1
759	1.15	-0.11	1.06	F	6554	6.575	1
760	1.15	-0.11	1.06	F	6554	6.575	3
761	1.15	-0.11	1.06	F	6554	6.575	1
762	1.15	-0.11	1.06	F	6554	6.575	4
763	0.78	0.10	0.90	K	4446	21.073	3
764	0.78	0.10	0.90	K	4446	21.073	1
765	0.34	0.32	0.63	M	1938	254.427	1
766	0.73	0.09	0.87	K	4161	25.706	1
767	0.73	0.09	0.87	K	4161	25.706	1
768	0.73	0.09	0.87	K	4161	25.706	1
769	1.54	-0.31	1.20	A	8778	2.738	2
770	0.93	0.25	0.97	G	5301	12.432	1
771	0.93	0.25	0.97	G	5301	12.432	1
772	2.50	0.16	1.48	None	14250	0.640	1
773	2.41	0.15	1.46	None	13737	0.714	2
774	1.63	0.00	1.23	A	9291	2.309	3
775	1.63	0.00	1.23	A	9291	2.309	1
776	1.05	0.07	1.02	F	5985	8.638	2
777	1.05	0.07	1.02	F	5985	8.638	1
778	1.74	0.20	1.27	A	9918	1.898	1
779	1.40	0.15	1.16	F	7979	3.644	1
780	0.49	0.40	0.74	K	2793	84.999	1
781	1.17	-0.15	1.07	F	6669	6.244	2
782	0.95	0.23	0.98	G	5415	11.664	1
783	1.93	0.29	1.33	A	11001	1.391	3
784	1.30	0.01	1.12	F	7410	4.552	1
785	1.11	0.25	1.05	F	6327	7.312	1
786	1.56	-0.47	1.21	A	8892	2.634	1
787	0.92	-0.07	0.96	G	5244	12.842	2
788	1.01	0.26	1.00	G	5757	9.706	1
789	1.12	0.33	1.05	F	6389	7.099	1
790	1.35	-0.12	1.14	F	7695	4.064	1
791	0.74	-0.34	0.88	K	4206	24.879	1
792	1.01	0.03	1.00	G	5757	9.706	4
793	0.80	-0.54	0.91	K	4560	19.531	1
794	0.74	0.15	0.88	K	4218	24.678	4
795	0.74	0.15	0.88	K	4218	24.678	1
796	0.74	0.15	0.88	K	4218	24.678	1
797	0.46	0.08	0.72	K	2639	100.753	1
798	0.92	0.21	0.96	G	5232	12.926	2
799	0.47	-0.37	0.72	K	2679	96.318	3
800	0.72	-0.46	0.87	K	4104	26.792	1
801	0.68	-0.33	0.85	K	3876	31.803	1
802	0.71	0.15	0.86	K	4047	27.940	1
803	0.41	0.09	0.68	M	2354	141.955	1
804	0.41	0.09	0.68	M	2354	141.955	1
805	0.93	0.10	0.97	G	5301	12.432	1
806	0.93	0.10	0.97	G	5301	12.432	1
807	0.93	0.10	0.97	G	5301	12.432	1
808	0.89	0.14	0.95	G	5073	14.185	1
809	0.26	0.26	0.56	M	1464	589.116	1
810	0.61	-0.30	0.81	K	3488	43.626	1
811	0.98	0.14	0.99	G	5608	10.496	1
812	0.91	0.08	0.96	G	5187	13.270	1
813	1.28	0.24	1.11	F	7301	4.757	1
814	0.66	0.04	0.84	K	3779	34.313	1
815	0.66	0.04	0.84	K	3779	34.313	1
816	1.53	0.32	1.20	A	8721	2.792	1
817	0.63	-0.12	0.82	K	3591	39.992	1
818	0.53	-0.51	0.76	K	3021	67.170	1
819	0.97	-0.14	0.99	G	5529	10.957	1
820	0.97	0.01	0.99	G	5529	10.957	4
821	1.11	-0.05	1.05	F	6327	7.312	3
822	0.97	-0.07	0.99	G	5529	10.957	2
823	0.80	0.29	0.91	K	4560	19.531	3
824	0.79	-0.01	0.90	K	4503	20.282	1
825	0.79	-0.01	0.90	K	4503	20.282	1
826	0.24	-0.46	0.54	M	1368	723.380	1
827	1.16	0.42	1.07	F	6611	6.407	1
828	2.80	-0.36	1.55	None	15959	0.456	1
829	1.51	0.14	1.19	A	8607	2.904	2
830	0.28	-0.86	0.58	M	1601	450.693	2
831	1.12	0.42	1.05	F	6384	7.118	1
832	1.12	0.42	1.05	F	6384	7.118	1
833	1.33	0.05	1.13	F	7609	4.203	1
834	1.11	0.09	1.05	F	6338	7.273	3
835	1.44	0.18	1.17	A	8196	3.363	1
836	1.18	0.05	1.07	F	6731	6.071	4
837	1.21	-0.00	1.09	F	6902	5.631	1
838	1.64	-0.02	1.23	A	9319	2.288	1
839	1.52	0.09	1.20	A	8686	2.825	1
840	1.62	-0.12	1.23	A	9234	2.352	1
841	1.31	-0.01	1.12	F	7467	4.448	1
842	1.46	-0.41	1.18	A	8310	3.226	4
843	1.28	0.05	1.11	F	7307	4.746	1
844	1.20	-0.12	1.08	F	6862	5.730	1
845	1.13	-0.27	1.05	F	6418	7.005	1
846	1.53	0.14	1.20	A	8749	2.765	1
847	1.21	0.27	1.09	F	6902	5.631	1
848	0.98	-0.42	0.99	G	5586	10.625	1
849	0.91	-0.15	0.96	G	5187	13.270	1
850	1.11	0.02	1.05	F	6321	7.332	1
851	1.11	0.02	1.05	F	6321	7.332	1
852	1.11	0.02	1.05	F	6321	7.332	4
853	1.40	0.35	1.16	F	7979	3.644	1
854	0.90	-0.03	0.96	G	5130	13.717	3
855	1.22	0.04	1.09	F	6954	5.507	1
856	1.11	0.01	1.05	F	6327	7.312	1
857	1.11	-0.04	1.05	F	6327	7.312	1
858	1.00	0.02	1.00	G	5700	10.000	2
859	0.78	-0.40	0.90	K	4446	21.073	1
860	0.73	0.03	0.87	K	4161	25.706	1
861	0.81	-0.01	0.91	G	4617	18.817	1
862	0.59	-0.12	0.80	K	3363	48.690	1
863	0.86	-0.01	0.94	G	4902	15.722	5
864	0.91	0.08	0.96	G	5187	13.270	1
865	0.95	0.05	0.98	G	5415	11.664	1
866	0.81	0.04	0.91	G	4617	18.817	1
867	0.88	-0.06	0.95	G	5016	14.674	3
868	1.49	0.06	1.19	A	8493	3.023	1
869	0.99	-0.03	1.00	G	5643	10.306	1
870	0.99	-0.03	1.00	G	5643	10.306	1
871	0.93	0.04	0.97	G	5301	12.432	1
872	0.91	-0.05	0.96	G	5187	13.270	1
873	0.70	0.01	0.86	K	3989	29.155	1
874	0.81	0.18	0.91	G	4617	18.817	1
875	0.81	0.18	0.91	G	4617	18.817	4
876	0.81	0.18	0.91	G	4617	18.817	3
877	0.81	0.18	0.91	G	4617	18.817	1
878	0.81	0.18	0.91	G	4617	18.817	1
879	0.87	0.00	0.94	G	4959	15.186	1
880	0.89	-0.05	0.95	G	5073	14.185	1
881	0.71	0.06	0.86	K	4047	27.940	4
882	0.93	0.05	0.97	G	5301	12.432	1
883	0.81	-0.10	0.91	G	4617	18.817	1
884	1.09	-0.03	1.04	F	6213	7.722	1
885	0.79	-0.02	0.90	K	4503	20.282	1
886	0.91	-0.06	0.96	G	5187	13.270	4
887	0.90	-0.09	0.96	G	5130	13.717	2
888	0.82	0.01	0.92	G	4674	18.137	1
889	1.10	0.07	1.04	F	6264	7.534	2
890	1.10	0.07	1.04	F	6264	7.534	1
891	0.80	-0.01	0.91	K	4560	19.531	1
892	1.09	0.03	1.04	F	6213	7.722	3
893	0.77	0.16	0.89	K	4389	21.904	1
894	0.94	0.06	0.97	G	5358	12.040	1
895	0.83	-0.06	0.92	G	4731	17.489	1
896	0.98	-0.03	0.99	G	5586	10.625	1
897	0.95	0.04	0.98	G	5415	11.664	1
898	0.82	-0.03	0.92	G	4674	18.137	1
899	0.87	-0.04	0.94	G	4959	15.186	1
900	0.79	0.01	0.90	K	4503	20.282	1
901	0.81	-0.78	0.91	G	4617	18.817	2
902	0.98	0.01	0.99	G	5586	10.625	1
903	1.06	0.01	1.03	F	6042	8.396	1
904	0.75	-0.10	0.88	K	4275	23.704	1
905	0.92	-0.11	0.96	G	5244	12.842	1
906	1.08	0.04	1.03	F	6156	7.938	1
907	0.86	-0.03	0.94	G	4902	15.722	1
908	1.04	0.00	1.02	G	5928	8.890	1
909	1.08	0.29	1.03	F	6156	7.938	2
910	1.08	0.29	1.03	F	6156	7.938	2
911	0.75	0.01	0.88	K	4275	23.704	2
912	0.51	-0.33	0.75	K	2907	75.386	2
913	1.28	-0.22	1.11	F	7296	4.768	1
914	1.09	0.03	1.04	F	6213	7.722	4
915	1.09	0.03	1.04	F	6213	7.722	4
916	1.43	0.04	1.17	A	8151	3.420	1
917	1.03	0.00	1.01	G	5871	9.151	1
918	0.74	0.10	0.88	K	4218	24.678	1
919	1.22	0.09	1.09	F	6954	5.507	3
920	0.98	-0.02	0.99	G	5586	10.625	3
921	1.12	0.02	1.05	F	6384	7.118	1
922	1.07	0.01	1.03	F	6099	8.163	3
923	0.73	-0.06	0.87	K	4161	25.706	1
924	0.75	-0.15	0.88	K	4275	23.704	1
925	1.00	-0.12	1.00	G	5700	10.000	1
926	1.00	-0.12	1.00	G	5700	10.000	1
927	1.00	-0.12	1.00	G	5700	10.000	2
928	1.00	-0.12	1.00	G	5700	10.000	1
929	0.99	-0.03	1.00	G	5643	10.306	1
930	1.09	-0.03	1.04	F	6213	7.722	3
931	0.75	0.11	0.88	K	4275	23.704	1
932	1.09	0.09	1.04	F	6213	7.722	2
933	0.85	0.00	0.93	G	4845	16.283	2
934	0.94	-0.01	0.97	G	5358	12.040	1
935	0.94	-0.01	0.97	G	5358	12.040	2
936	0.98	-0.03	0.99	G	5586	10.625	1
937	0.95	0.03	0.98	G	5415	11.664	1
938	1.01	0.03	1.00	G	5757	9.706	2
939	0.99	0.04	1.00	G	5643	10.306	1
940	1.21	0.03	1.09	F	6897	5.645	3
941	0.86	0.01	0.94	G	4902	15.722	1
942	1.20	0.07	1.08	F	6840	5.787	1
943	1.00	0.00	1.00	G	5700	10.000	1
944	1.00	0.00	1.00	G	5700	10.000	3
945	0.60	-0.06	0.80	K	3420	46.296	1
946	0.56	-0.17	0.78	K	3192	56.942	1
947	0.79	-0.01	0.90	K	4503	20.282	1
948	1.02	0.03	1.01	G	5814	9.423	1
949	0.94	-0.01	0.97	G	5358	12.040	4
950	1.08	0.21	1.03	F	6156	7.938	1
951	0.87	-0.03	0.94	G	4959	15.186	2
952	0.87	-0.03	0.94	G	4959	15.186	1
953	1.10	0.09	1.04	F	6270	7.513	1
954	0.88	0.01	0.95	G	5016	14.674	1
955	1.03	-0.06	1.01	G	5871	9.151	1
956	0.81	-0.02	0.91	G	4617	18.817	1
957	1.12	-0.02	1.05	F	6384	7.118	1
958	1.11	0.08	1.05	F	6327	7.312	1
959	0.70	0.06	0.86	K	3989	29.155	1
960	0.70	0.06	0.86	K	3989	29.155	2
961	0.96	0.01	0.98	G	5472	11.303	1
962	1.08	0.05	1.03	F	6156	7.938	1
963	0.52	-0.09	0.76	K	2964	71.120	2
964	1.07	-0.08	1.03	F	6093	8.186	1
965	1.07	-0.08	1.03	F	6093	8.186	2
966	0.86	-0.04	0.94	G	4902	15.722	1
967	1.01	0.00	1.00	G	5757	9.706	3
968	0.99	-0.09	1.00	G	5643	10.306	1
969	1.13	-0.01	1.05	F	6440	6.931	1
970	1.13	-0.01	1.05	F	6440	6.931	1
971	1.14	0.06	1.06	F	6497	6.750	1
972	0.94	-0.09	0.97	G	5358	12.040	1
973	0.66	-0.10	0.84	K	3762	34.783	1
974	0.82	-0.11	0.92	G	4674	18.137	4
975	0.99	-0.02	1.00	G	5643	10.306	1
976	1.01	-0.02	1.00	G	5757	9.706	1
977	0.95	0.00	0.98	G	5415	11.664	1
978	0.95	0.00	0.98	G	5415	11.664	1
979	0.95	0.00	0.98	G	5415	11.664	1
980	0.95	0.00	0.98	G	5415	11.664	1
981	0.95	0.00	0.98	G	5415	11.664	1
982	0.95	0.00	0.98	G	5415	11.664	1
983	1.21	0.05	1.09	F	6897	5.645	1
984	0.94	-0.04	0.97	G	5358	12.040	1
985	0.96	-0.08	0.98	G	5472	11.303	1
986	1.11	-0.01	1.05	F	6327	7.312	1
987	1.30	0.13	1.12	F	7410	4.552	1
988	0.71	0.28	0.86	K	4047	27.940	1
989	1.11	0.00	1.05	F	6327	7.312	1
990	0.86	0.01	0.94	G	4902	15.722	2
991	0.88	-0.09	0.95	G	5016	14.674	4
992	1.05	0.04	1.02	F	5985	8.638	1
993	0.73	-0.16	0.87	K	4161	25.706	2
994	1.10	0.02	1.04	F	6270	7.513	2
995	1.34	0.04	1.13	F	7638	4.156	1
996	1.12	0.18	1.05	F	6384	7.118	1
997	0.87	-0.08	0.94	G	4959	15.186	1
998	1.60	-0.51	1.22	A	9120	2.441	3
999	0.95	0.01	0.98	G	5415	11.664	1
1000	0.95	0.03	0.98	G	5415	11.664	2
1001	0.96	0.00	0.98	G	5472	11.303	1
1002	1.11	0.03	1.05	F	6327	7.312	3
1003	0.78	-0.04	0.90	K	4446	21.073	4
1004	1.29	0.12	1.12	F	7353	4.658	1
1005	0.92	-0.03	0.96	G	5244	12.842	1
1006	0.93	0.05	0.97	G	5301	12.432	1
1007	0.35	-0.59	0.64	M	1994	233.236	1
1008	0.95	-0.09	0.98	G	5415	11.664	1
1009	0.92	-0.26	0.96	G	5244	12.842	1
1010	0.97	0.04	0.99	G	5529	10.957	4
1011	0.94	0.04	0.97	G	5358	12.040	1
1012	1.00	-0.04	1.00	G	5700	10.000	1
1013	1.00	-0.04	1.00	G	5700	10.000	1
1014	0.75	0.05	0.88	K	4275	23.704	1
1015	0.75	0.05	0.88	K	4275	23.704	1
1016	0.90	-0.06	0.96	G	5130	13.717	1
1017	1.03	0.05	1.01	G	5871	9.151	1
1018	0.87	-0.01	0.94	G	4959	15.186	1
1019	0.93	-0.02	0.97	G	5301	12.432	1
1020	0.84	-0.10	0.93	G	4788	16.872	4
1021	0.96	0.02	0.98	G	5472	11.303	1
1022	0.72	0.03	0.87	K	4104	26.792	3
1023	1.50	0.05	1.19	A	8550	2.963	1
1024	0.95	0.04	0.98	G	5415	11.664	1
1025	0.94	0.05	0.97	G	5358	12.040	3
1026	0.71	-0.00	0.86	K	4047	27.940	1
1027	0.71	-0.00	0.86	K	4047	27.940	4
1028	0.71	-0.00	0.86	K	4047	27.940	1
1029	0.76	-0.08	0.89	K	4332	22.780	1
1030	1.01	0.04	1.00	G	5757	9.706	3
1031	0.97	0.02	0.99	G	5529	10.957	1
1032	0.81	-0.06	0.91	G	4617	18.817	1
1033	0.81	-0.06	0.91	G	4617	18.817	1
1034	0.98	-0.03	0.99	G	5586	10.625	2
1035	0.79	-0.13	0.90	K	4503	20.282	4
1036	0.74	-0.06	0.88	K	4218	24.678	1
1037	1.09	0.11	1.04	F	6213	7.722	1
1038	0.81	-0.02	0.91	G	4617	18.817	1
1039	1.02	0.02	1.01	G	5814	9.423	1
1040	1.00	-0.08	1.00	G	5700	10.000	1
1041	1.00	-0.08	1.00	G	5700	10.000	4
1042	0.76	0.01	0.89	K	4332	22.780	1
1043	0.88	-0.11	0.95	G	5016	14.674	1
1044	0.55	-0.25	0.77	K	3135	60.105	1
1045	0.91	0.03	0.96	G	5187	13.270	4
1046	1.26	0.04	1.10	F	7182	4.999	1
1047	1.26	0.04	1.10	F	7182	4.999	1
1048	1.03	0.04	1.01	G	5871	9.151	2
1049	1.00	0.02	1.00	G	5700	10.000	1
1050	0.76	0.05	0.89	K	4332	22.780	1
1051	1.41	0.18	1.16	A	8036	3.567	1
1052	1.19	0.04	1.08	F	6783	5.934	1
1053	1.16	-0.06	1.07	F	6611	6.407	2
1054	1.16	-0.06	1.07	F	6611	6.407	1
1055	0.92	0.01	0.96	G	5244	12.842	1
1056	0.59	-0.35	0.80	K	3363	48.690	1
1057	0.89	-0.03	0.95	G	5073	14.185	1
1058	1.22	0.02	1.09	F	6954	5.507	1
1059	0.85	-0.03	0.93	G	4845	16.283	4
1060	1.13	0.05	1.05	F	6440	6.931	1
1061	0.90	-0.02	0.96	G	5130	13.717	3
1062	0.79	-0.05	0.90	K	4503	20.282	1
1063	0.87	0.13	0.94	G	4959	15.186	1
1064	1.24	0.26	1.10	F	7068	5.245	1
1065	0.80	-0.09	0.91	K	4560	19.531	1
1066	1.58	-0.01	1.22	A	9006	2.535	2
1067	0.92	-0.04	0.96	G	5244	12.842	1
1068	0.86	0.00	0.94	G	4902	15.722	1
1069	1.04	-0.04	1.02	G	5928	8.890	5
1070	0.90	-0.04	0.96	G	5130	13.717	1
1071	1.01	-0.01	1.00	G	5757	9.706	1
1072	0.98	0.02	0.99	G	5586	10.625	1
1073	0.80	-0.05	0.91	K	4560	19.531	1
1074	0.84	-0.03	0.93	G	4788	16.872	1
1075	0.86	0.18	0.94	G	4902	15.722	1
1076	0.86	0.18	0.94	G	4902	15.722	3
1077	1.09	0.00	1.04	F	6213	7.722	4
1078	1.17	0.03	1.07	F	6669	6.244	1
1079	1.04	0.01	1.02	G	5928	8.890	1
1080	1.00	0.04	1.00	G	5700	10.000	2
1081	1.05	-0.04	1.02	F	5985	8.638	4
1082	0.96	-0.04	0.98	G	5472	11.303	1
1083	0.95	0.00	0.98	G	5415	11.664	1
1084	1.06	-0.01	1.03	F	6042	8.396	2
1085	1.04	0.00	1.02	G	5928	8.890	1
1086	1.11	0.08	1.05	F	6327	7.312	1
1087	0.76	-0.02	0.89	K	4332	22.780	1
1088	0.85	-0.08	0.93	G	4845	16.283	1
1089	0.86	-0.16	0.94	G	4902	15.722	1
1090	1.08	0.12	1.03	F	6156	7.938	1
1091	0.94	0.00	0.97	G	5358	12.040	1
1092	0.74	-0.25	0.88	K	4218	24.678	1
